id	codigo	direccion	localidad	provincia	ubicacion	latitud	longitud	fuente	fecha_creacion
295	380	Otamendi 490	Capital Federal	Capital Federal		-34.610993668817550	-58.433677847806220	Georef	2026-06-22 16:00:37.003
296	388	Alte. Segui 849	Capital Federal	Buenos Aires		-34.615321421688330	-58.456350158875070	Georef	2026-06-22 16:00:41.457
297	391	Av. Cabildo 2865	Capital Federal	Capital Federal		-34.555831667010750	-58.462204467869654	Georef	2026-06-22 16:00:45.407
299	394	Av. Santa Fe 4489	Capital Federal	Capital Federal		-34.579344637990220	-58.424282480341210	Georef	2026-06-22 16:01:06.290
300	395	Federico Lacroze 4106	Capital Federal	Capital Federal		-34.586018613822430	-58.454500853011230	Georef	2026-06-22 16:01:10.310
301	396	Av. San Martin 2289	Capital Federal	Capital Federal		-34.604103432798840	-58.459988880864614	Georef	2026-06-22 16:01:14.317
302	397	526	Av. Dr.Honorio Pueyrredon 925	Capital Federal		-34.643095376914600	-59.361791173712900	Georef	2026-06-22 16:01:18.900
303	398	Av. Rivadavia 9436	Capital Federal	Capital Federal		-34.637107394411980	-58.497074527485540	Georef	2026-06-22 16:01:22.853
304	400	Del Barco Centenera 177	Capital Federal	Capital Federal		-34.621789788812900	-58.440968130341744	Georef	2026-06-22 16:01:34.553
305	402	Av. Corrientes 1974	Capital Federal	Capital Federal		-32.959691856696690	-60.645874553328530	Georef	2026-06-22 16:01:38.787
306	403	Av. Santa Fe 5052	Capital Federal	Capital Federal		-34.576799947775140	-58.430891714747740	Georef	2026-06-22 16:01:42.740
307	404	Av. Medrano 686	Capital Federal	Capital Federal		-34.602076293378104	-58.420805258721880	Georef	2026-06-22 16:01:46.733
309	408	Peru 916	Capital Federal	Capital Federal		-31.241863182013360	-61.503328787071360	Georef	2026-06-22 16:02:01.713
310	409	Av. Gaona 3567	Capital Federal	Capital Federal		-34.620954455069250	-58.475065733259800	Georef	2026-06-22 16:02:05.803
311	410	Tucumán 2173	Capital Federal	Capital Federal		-33.048283009336260	-61.164062399904445	Georef	2026-06-22 16:02:09.800
312	411	Av. E. Peron 3479	Capital Federal	Capital Federal		-34.687578734639466	-58.636525663226540	Georef	2026-06-22 16:02:13.830
313	412	Av. Caseros 3535	Capital Federal	Capital Federal		-34.638748406732450	-58.415001133363190	Georef	2026-06-22 16:02:17.790
314	413	Venezuela 4086	Capital Federal	Capital Federal		-34.550312217424750	-58.507101200481730	Georef	2026-06-22 16:02:21.753
315	415	Av. San Juan 4351	Capital Federal	Capital Federal		-34.626913772333320	-58.426170868871420	Georef	2026-06-22 16:02:25.787
316	416	Av. Almafuerte 880	Capital Federal	Capital Federal		-34.648160486877260	-58.416118350954400	Georef	2026-06-22 16:02:29.570
317	417	Fray Cayetano Rodriguez 464	Capital Federal	Capital Federal		-35.235215933914255	-63.593930531510070	Georef	2026-06-22 16:02:33.397
318	418	Carlos Calvo 1826	Capital Federal	Capital Federal		-34.620251336212114	-58.392041113559934	Georef	2026-06-22 16:02:37.550
319	419	Olavarria 469	Capital Federal	Capital Federal		-34.452935673506070	-58.894964892779086	Georef	2026-06-22 16:02:41.420
320	420	Av. Gaona 1384	Capital Federal	Capital Federal		-34.608758422050920	-58.448729575412110	Georef	2026-06-22 16:02:45.220
321	421	554	Coronel Martiniano Chilavert 6280	Capital Federal		-34.863597452986250	-60.064623525030740	Georef	2026-06-22 16:02:49.193
322	422	Murature 2169	Capital Federal	Buenos Aires		-34.472311757581245	-58.557043178683465	Georef	2026-06-22 16:02:52.967
323	423	Av. Castañares 4854	Capital Federal	Capital Federal		-34.666958006162440	-58.472858818765280	Georef	2026-06-22 16:02:56.857
324	424	Bartolome Mitre 226	Capital Federal	Buenos Aires		-34.199061991720340	-60.730610265477420	Georef	2026-06-22 16:03:00.887
325	426	Montañeses 2067	Capital Federal	Capital Federal		-34.700232667828300	-58.568582261290110	Georef	2026-06-22 16:03:16.063
326	427	Av. Rivadavia 16051	Capital Federal	Buenos Aires		-34.645014883865750	-58.590414758569665	Georef	2026-06-22 16:03:19.883
327	428	Rosario 4558	Capital Federal	Buenos Aires		-34.618943834471146	-58.746550457328760	Georef	2026-06-22 16:03:24.190
328	429	Independencia 4731	Capital Federal	Buenos Aires		-27.482575445068203	-58.794905680506076	Georef	2026-06-22 16:03:28.067
329	430	Carrillo 2170	Capital Federal	Buenos Aires		-37.962163017852234	-57.630065585206940	Georef	2026-06-22 16:03:33.207
331	436	Parana 6543	Capital Federal	Buenos Aires		-34.841680827095950	-58.477132940625630	Georef	2026-06-22 16:04:13.700
332	437	Centenario 1890	Capital Federal	Buenos Aires		-34.461392905716860	-58.526827708027110	Georef	2026-06-22 16:04:17.890
333	438	25 de Mayo 2650	Capital Federal	Buenos Aires		-34.691215816076706	-58.426061822667800	Georef	2026-06-22 16:04:21.903
336	441	Velez Sarfield 4690	Capital Federal	Buenos Aires		-33.047744458609870	-61.201630376054670	Georef	2026-06-22 16:04:50.917
337	442	Sarmiento 837	Capital Federal	Buenos Aires		-30.085360181177350	-58.791211031710500	Georef	2026-06-22 16:04:54.940
338	443	Los Tilos 711	Capital Federal	Buenos Aires		-32.860890355309124	-68.857900438451080	Georef	2026-06-22 16:04:58.790
339	444	Camino Gral Belgrano 6498	Capital Federal	Buenos Aires		-34.826220455943940	-58.183023806943100	Georef	2026-06-22 16:05:02.560
340	445	Av. Arana 231	Capital Federal	Buenos Aires		-34.856508935556530	-58.082595645854965	Georef	2026-06-22 16:05:06.520
341	446	Eva Peron 4461	Capital Federal	Buenos Aires		-34.729082343752000	-58.352722124290790	Georef	2026-06-22 16:05:10.410
342	447	Coronel D`Elia 1649	Capital Federal	Buenos Aires		-34.690957643723000	-58.408052321396380	Georef	2026-06-22 16:05:14.217
343	448	Carlos Pellegrini 844	Capital Federal	Buenos Aires		-31.417699904193032	-64.156141046854740	Georef	2026-06-22 16:05:18.243
344	449	Sallares 151	Capital Federal	Buenos Aires		-34.807856585323150	-58.275417057518150	Georef	2026-06-22 16:05:22.210
345	450	Bolivar 1343	Capital Federal	Buenos Aires		-34.390445794533484	-58.736996617782290	Georef	2026-06-22 16:05:26.120
346	451	Guatambu 12	Capital Federal	Buenos Aires		-34.676341183887440	-58.680787400357470	Georef	2026-06-22 16:05:30.170
347	452	Av. Centenario 5331	Capital Federal	Buenos Aires		-34.753510893045440	-58.238187856523716	Georef	2026-06-22 16:05:33.983
348	453	Martin Rodriguez 1399 (Banfield)	Capital Federal	Buenos Aires		-34.515986043829300	-58.551732639928700	Georef	2026-06-22 16:05:37.947
349	454	Mitre 573	Capital Federal	Buenos Aires		-36.768034047582620	-59.094352634482576	Georef	2026-06-22 16:05:42.023
350	455	Av. Hipolito Yrigoyen 2323	Capital Federal	Buenos Aires		-34.472130148177940	-58.656311942016850	Georef	2026-06-22 16:05:45.860
