store_id,official_address,neighborhood,locality
551,Av. Monroe 3576,Villa Urquiza,C.A.B.A.
552,Av. Rivadavia 3751,Almagro,C.A.B.A.
553,Cuzco 135,Liniers,C.A.B.A.
554,Coronel Martiniano Chilavert 6280,Villa Riachuelo,C.A.B.A.
555,Guemes 4161,Palermo,C.A.B.A.
556,Grecia 3595,Nuñez,C.A.B.A.
557,Arzobispo Espinosa 1187,La Boca,C.A.B.A.
558,Sarmiento 345,San Nicolás,C.A.B.A.
559,Teodoro Garcia 2310,Belgrano,C.A.B.A.
560,Bartolome Mitre 1749,Congreso,C.A.B.A.
561,Angel Gallardo 940,Caballito,C.A.B.A.
562,San Martin 620,San Nicolás,C.A.B.A.
563,Hidalgo 955,Caballito,C.A.B.A.
565,Ecuador 932,Once,C.A.B.A.
566,Alvarez Thomas 1996,Villa Urquiza,C.A.B.A.
568,Olazabal 1898,Belgrano,C.A.B.A.
569,Av. Libertador 1140,Recoleta,C.A.B.A.
570,Defensa 1400,San telmo,C.A.B.A.
571,Tacuari 89,Balvanera,C.A.B.A.
572,Av. Del Barco Centenera 1282,Parque Chacabuco,C.A.B.A.
573,Av. Cordoba 3721,Almagro,C.A.B.A.
574,Garcia del Rio 3166,Saavedra,C.A.B.A.
575,Av. Directorio 483,Caballito,C.A.B.A.
576,Nuñez 1563,Nuñez,C.A.B.A.
577,Av. Córdoba 2038,Recoleta,C.A.B.A.
579,Av. Alte. Brown 795,La Boca,C.A.B.A.
580,Av. Corrientes 4147,Almagro,C.A.B.A.
581,Juan M. Gutierrez 3756,Palermo,C.A.B.A.
582,Av. Congreso 4781,Villa Urquiza,C.A.B.A.
583,Av. de Mayo 1241,San Nicolás,C.A.B.A.
585,Lima 945,San Nicolás,C.A.B.A.
586,San Martin 5934,Villa del Parque,C.A.B.A.
587,Rojas 16,Caballito,C.A.B.A.
588,Av. San Martin 4685,Agronomia,C.A.B.A.
589,Peru 487,Monserrat,C.A.B.A.
590,Peña 2544,Recoleta,C.A.B.A.
591,Juan Domingo Peron 4177,Almagro,C.A.B.A.
592,Echeverria 1420,Belgrano,C.A.B.A.
593,Entre Rios 1192,San Cristobal,C.A.B.A.
594,Av. Inclan 2502,Parque Patricios,C.A.B.A.
595,Cosquin 78 / 80,Liniers,C.A.B.A.
596,Av. Federico Lacroze 3660,Colegiales,C.A.B.A.
597,Sanabria 2733,Villa del Parque,C.A.B.A.
598,Sarmiento 1810,Congreso,C.A.B.A.
599,Blanco Encalada 4470,Villa Urquiza,C.A.B.A.
600,Directorio 3960,Floresta,C.A.B.A.
604,Av. Estado de Israel 4684,Villa Crespo,C.A.B.A.
605,Av. Juan Bautista Alberdi 7071,Mataderos,C.A.B.A.
606,Obispo Trejo 1166,Córdoba Capital,Córdoba
607,Chacabuco 727,Córdoba Capital,Córdoba
608,Serrano 280,Villa Crespo,C.A.B.A.
609,Av. del Libertador 4534,Palermo,C.A.B.A.
610,Pueyrredon 298,Córdoba Capital,Córdoba
613,Av. Congreso 2774,Belgrano,C.A.B.A.
614,Murguiondo 4053,Lugano,C.A.B.A.
615,Av. Rivadavia 4702,Caballito,C.A.B.A.
616,Rio de Janeiro 71,Caballito,C.A.B.A.
617,Monroe 3131,Villa Urquiza,C.A.B.A.
618,Bulnes 2751,Recoleta,C.A.B.A.
619,Ramos Mejia 1019,Caballito,C.A.B.A.
621,Av. Avellaneda 1034,Caballito,C.A.B.A.
622,Av. Boyaca 1082,Floresta,C.A.B.A.
623,Av. Rivadavia 2520,Once,C.A.B.A.
624,Nazca 3214,Villa del Parque,C.A.B.A.
625,Montiel 1061,Naon,C.A.B.A.
626,Ramon Falcon 5547,Villa Luro,C.A.B.A.
627,Paseo Colon 1179,San telmo,C.A.B.A.
628,Av. Rivadavia 4119,Almagro,C.A.B.A.
630,Araoz 2148,Palermo,C.A.B.A.
631,Lavalle 368,San Nicolás,C.A.B.A.
632,Amenabar 2702,Belgrano,C.A.B.A.
633,Bolivar 270,Monserrat,C.A.B.A.
634,Moreno 1401,Balvanera,C.A.B.A.
636,Ayacucho 1401,Recoleta,C.A.B.A.
637,Av. San Martin 2218,Caseros,G.B.A.
638,Av. De Mayo 432,Derqui,G.B.A.
639,Av. Pedro Goyena 188,Caballito,C.A.B.A.
640,Boulogne Sur Mer 431,Almagro,C.A.B.A.
641,Alvear 126,Córdoba Capital,Córdoba
642,GralPaz 240,Córdoba Capital,Córdoba
643,Segurola 1441,Villa del Parque,C.A.B.A.
644,25 de Mayo 979,Córdoba Capital,Córdoba
645,Luis María Drago 287,Villa Crespo,C.A.B.A.
646,Baunes 2692,Villa Urquiza,C.A.B.A.
648,Belgrano 54,Córdoba Capital,Córdoba
649,Emilio Castro 6815,Mataderos,C.A.B.A.
650,San Martin 26,Villa Carlos Paz,Córdoba
652,Av. Las Heras 2986,Recoleta,C.A.B.A.
654,Hipolito Yrigoyen 1790,Congreso,C.A.B.A.
656,Viamonte 170,San Nicolás,C.A.B.A.
657,Montiel 1718,Naon,C.A.B.A.
658,Larrazabal 265,Villa Luro,C.A.B.A.
659,Conesa 999,Colegiales,C.A.B.A.
660,Juan Segui 4524,Palermo,C.A.B.A.
661,Araoz 1140,Palermo,C.A.B.A.
662,Av. Belgrano 3043,Boedo,C.A.B.A.
664,Nogoya 3644,Villa del Parque,C.A.B.A.
667,Directorio 4989,Mataderos,C.A.B.A.
669,Yapeyu 2059,San Martin,G.B.A.
670,Hidalgo 92,Caballito,C.A.B.A.
671,Mcal. Antonio Jose Sucre 2774,Belgrano,C.A.B.A.
672,Coronel Martiniano Chilavert 6901,Villa Riachuelo,C.A.B.A.
673,Carrasco 421,Floresta,C.A.B.A.
674,Virrey del Pino 2527,Belgrano,C.A.B.A.
676,Chile 701,Monserrat,C.A.B.A.
677,Alvarez Jonte 3079,Santa Rita,C.A.B.A.
678,Arregui 6369,Versalles,C.A.B.A.
679,Av. Scalabrini Ortiz 1396,Palermo,C.A.B.A.
680,Carhue 1427,Naon,C.A.B.A.
682,Viamonte 702,San Nicolás,C.A.B.A.
683,Av. Cramer 2463,Belgrano,C.A.B.A.
684,Mexico 1530,Monserrat,C.A.B.A.
685,Pareja 4890,Villa Devoto,C.A.B.A.
686,Juan Agustin Garcia 3202,Santa Rita,C.A.B.A.
687,Av. Alvarez Jonte 1987,Villa del Parque,C.A.B.A.
688,Lope de Vega 19,Villa Luro,C.A.B.A.
689,Av. Independencia 2716,Balvanera,C.A.B.A.
691,Av. La Plata 716,Boedo,C.A.B.A.
692,Neuquén 520,Caballito,C.A.B.A.
693,Av. Pedro Goyena 1680,Caballito,C.A.B.A.
694,Tucuman 1541,San Nicolás,C.A.B.A.
695,Almirante Brown 261,La Boca,C.A.B.A.
697,Caboto 420,La Boca,C.A.B.A.
698,Belaustegui 2748,Santa Rita,C.A.B.A.
699,Dorrego 2145,Palermo,C.A.B.A.
710,Nahuel Huapi 5038,Villa Urquiza,C.A.B.A.
